synset	en	id	es	fr	pt-br	sw	de	ru	zh	ja	ar	hi	tr
00857206-a	chilly	dingin	frío	froid	frio	baridi	kühl	холодно	寒冷的	冷々たる	بارد	ठंडा	soğuk
	betsy	Betsy	betsy	betsy	Betsy	betsy	Betsy	Бетси	贝特西	ベッツィー	بيتسي	बेट्सी	Besy
01012100-a	eldest	anak sulung	mayor	aîné	mais velho	mkubwa	erstgeboren	старший	最年长的	最年長	الاكبر	ज्येष्ठ	en büyüğü
	traditions	tradisi	tradiciones	traditions	tradições	mila	Traditionen	традиции	传统	伝統	التقاليد	परंपराएँ	gelenekler
	factories	pabrik	fábricas	usines	fábricas	viwanda	Fabriken	заводы	工厂	工場	المصانع	कारखाने	fabrikalar
13479380-n	feedback	umpan balik	realimentación	rétroaction	comentários	maoni	Rückmeldung	обратная связь	反馈	フィードバック	ردود الفعل	प्रतिक्रिया	geribildirim
00176880-r	repeatedly	berganda-ganda	reiteradamente	à maintes reprises	repetidamente	mara kwa mara	wiederholt	повторно	反复地	いくえにも	مرارا وتكرارا	बार-बार	tekrar tekrar
01511387-a	exquisite	tajam	entusiasta	exquis	requintado	maridadi	exquisit	изысканный	精致的	シャープ	رائعة	उत्तम	enfes
07824988-n	pickle	acar	escabeche	pickles	picles	kachumbari	eingelegtes Gemüse	соленье	腌菜	酢漬け	مخلل	अचार	turşu
08180190-n	masses	bongkah	multitud	plèbe	massas	raia	Pöbel	массы	群众	大衆	الجماهير	जनता	millet
02775318-a	pauline	paulina	paulino	Pauline	paulina	pauline	Pauline	Полина	使徒保罗+的	ポーリン	بولين	पॉलीन	Pauline
	frogs	katak	ranas	grenouilles	sapos	vyura	Frösche	лягушки	青蛙	カエル	الضفادع	मेढक	kurbağalar
	crosses	salib	cruces	croix	cruzes	misalaba	Kreuze	кресты	十字架	十字架	الصلبان	पार	haçlar
	headaches	sakit kepala	dolores de cabeza	maux de tête	dores de cabeça	maumivu ya kichwa	Kopfschmerzen	головные боли	头痛	頭痛	الصداع	सिरदर्द	baş ağrısı
08496477-n	arctic	Arctic	ártico	Arctique	ártico	aktiki	Arktis	Арктика	北极	北極	أركتيك	आर्कटिक	arktik
	reinforcements	bala bantuan	refuerzos	renforts	reforços	reinforcements	Verstärkungen	подкрепления	援军	増援	تعزيزات	सुदृढीकरण	takviyeler
01853461-a	secondary	sekunder	secundario	secondaire	secundário	sekondari	sekundär	вторичный	次要+的	二次的	ثانوي	माध्यमिक	ikincil
	pajamas	piyama	pijama	pyjamas	pijama	pajama	Pyjamas	пижама	睡衣	パジャマ	بيجامة	पजामा	pijama
	roles	peran	roles	rôles	papéis	majukumu	Rollen	роли	角色	役割	الأدوار	भूमिकाएँ	roller
09208702-n	asteroid	asteroid	asteroide	astéroïde	asteróide	asteroid	Asteroid	астероид	小行星	小惑星	كويكب	क्षुद्रग्रह	asteroit
	unsub	berhenti berlangganan	sudes	unsub	suspeito	ondoa	unsub	субъект	取消Sub	サブスクを解除する	unsub	अनसब	şüpheli
00380083-n	mixing	campuran	mezcla	mélange	misturando	kuchanganya	Mischung	смесь	混合	ミキシング	اِمْتِزاج	मिश्रण	karıştırma
10311021-n	courier	penghantar	mensajero	messager	mensageiro	mjumbe	Kurier	посыльный	信使	使者	رسول	कूरियर	kurye
	jeanne	jeanne	jeanne	Jeanne	Joana	Jeanne	Jeanne	Жанна	珍妮	ジャンヌ	جين	जीन	Jeanne
	carrots	wortel	zanahorias	carottes	cenouras	karoti	Karotten	морковь	胡萝卜	ニンジン	جزر	गाजर	havuç
	fuckers	bajingan	cabrones	connards	filhos da puta	wadanganyifu	Scheißer	лохи	混蛋	クソ野郎	الملاعين	चोदू	şerefsizler
	translated	diterjemahkan	traducido	traduit	traduzido	kutafsiriwa	übersetzt	переведено	翻译的	翻訳された	مترجم	अनुवादित	tercüme edildi
07486628-n	longing	hasrat	anhelo	nostalgie	saudade	hamu	Sehnsucht	тяга	憧憬	あこがれ	شوق	लालसा	hasret
	cigars	cerutu	cigarros	cigares	charutos	sigara	Zigarren	сигары	雪茄	葉巻	السيجار	सिगार	puro
02536329-v	manipulate	manipulasi	manipular	manipuler	manipular	kuendesha	manipulieren	манипулировать	幕后操纵	操る	التلاعب	हेर-फेर करना	manipüle etmek
10256756-n	liberal	liberal	liberal	libéral	liberal	huria	liberal	либеральный	自由主义	リベラリスト	لِيبْراليّ	उदार	liberal
	investors	investor	inversores	investisseurs	investidores	wawekezaji	Investoren	инвесторы	投资者	投資家	المستثمرين	निवेशक	yatırımcılar
07680932-n	bun	ban	bollo	petit pain	pão	bun	Brötchen	булочка	包子	バン	كَعْكَة	रोटी	çörek
00148078-a	sly	cerdik	astuto	rusé	astuto	mjanja	gerissen	коварный	狡猾	狡い	خبيث	धूर्त	kurnaz
	pickles	acar	pepinillos	cornichons	picles	kachumbari	Gurken	соленые огурцы	泡菜	ピクルス	مخللات	अचार	turşu
	temperatures	suhu	temperaturas	températures	temperaturas	joto	Temperaturen	температура	温度	温度	درجات الحرارة	तापमान	sıcaklıklar
	sweetest	paling manis	más dulce	le plus doux	mais doce	tamu zaidi	am süßesten	самый сладкий	最甜蜜的	最も甘い	أحلى	सबसे मधुर	en tatlı
07152259-n	motto	cogan	lema	devise	lema	kauli mbiu	Motto	девиз	格言	モットー	شعار	आदर्श वाक्य	slogan
11537506-n	moss	lumut	musgo	mousse	musgo	moshi	Moos	мох	青苔	苔	أشنة	काई	yosun
	yum	enak	mmm	miam	hummm	yum	lecker	ням	嗯	うーん	يم	स्वादिष्ट	tatlım
13566535-n	melting	melebur	derrito	fusion	derretendo	kuyeyuka	schmelzen	плавящийся,расплавленный	熔化	溶解	ذوبان	पिघलना	erime
	yan	ya	yan	yan	eu	yan	Yan	Ян	严	やん	يان	यान	yan
	requesting	meminta	solicitando	demandant	solicitando	kuomba	anfordern	запрос	请求	要求している	يطلب	अनुरोध कर रहा हूँ	talep eden
14930989-n	lava	lava	lava	lave	lava	lava	Lava	лава	熔岩	溶岩	حمم بركانية	लावा	lav
	you.	kamu.	usted.	vous.	você.	wewe.	Du.	ты.	你。	あなた。	أنت.	आप.	sen.
03628728-n	kris	keris	cris	kris	Cris	kris	Kris	Крис	波状刃短剑	クリス	كريس	क्रिस	kris
06594505-n	monthly	bulanan	revista mensual	mensuel	mensalmente	kila mwezi	monatlich	ежемесячник	每月	毎月	شهريا	मासिक	aylık
	noses	hidung	narices	nez	narizes	pua	Nasen	носы	鼻子	鼻	أنوف	नाक	burunlar
05723417-n	tickle	geletek	cosquillas	chatouiller	fazer cócegas	tekenya	kitzeln	щекотать	挠痒痒	くすぐったい	دغدغة	गुदगुदी	gıdıklamak
05897825-n	ufo	piring terbang	OVNI	OVNI	OVNI	ufo	UFO	НЛО	不明飞行物	UFO	صحن طائر	उड़न तश्तरी	UFO
12130549-n	timothy	timotius	timoteo	fléole des prés	Timóteo	Timotheo	Timothy	Тимоти	蒂莫西	オオアワガエリ	تيموثي	टिमोथी	Timothy
	stacey	stacey	stacy	stacey	Stacey	stacey	Stacey	Стейси	史黛西	ステイシー	ستايسي	स्टेसी	Stacey
	j.r.	j.r.	j.r.	j.r.	j.r.	j.r	j.r.	младший	j.r.	ジュニア	ج.ر.	जे.आर.	Jr.
08588699-n	midst	pertengahan	corazón	gros	meio	katikati	mittendrin	посреди	中间	まっただ中	وسط	बीच में	ortasında
11044629-n	herbert	Herbert	Victor Herbert	Victor Herbert	herberto	herbert	Herbert	Герберт	赫伯特	ヘルベルト	هربرت	हर्बर्ट	ot
	purchased	dibeli	comprado	acheté	comprado	kununuliwa	gekauft	куплен	已购买	購入した	تم شراؤها	खरीदा	satın alındı
	tis	ini	esto	c'est	isso	tis	Das ist	это	是	です	تيس	तीस	bu
14446493-n	convenience	kemudahan	comodidad	commodité	conveniência	urahisi	Annehmlichkeit	удобство	便利	便利	الراحة	सुविधा	kolaylık
03359137-n	flashlight	senter	lámpara	lampe de poche	lanterna	tochi	Taschenlampe	фонарик	手电筒	懐中電燈	مشعل	टार्च	fener
10933266-n	dewey	Dewey	Dewey	Melvil Dewey	Dewey	dewey	dewey	Дьюи	杜威	メルヴィル・デューイ	ديوي	डेवी	çiğ
01900408-v	tripped	menyandung	tropezar	trébucher	tropeçar	tripped	stolpern	спотыкаться	失足	躓く	تعثرت	लड़खड़ा गया	takıldı
00749230-a	easiest	mudah	fácil	facile	fácil	rahisi	leicht	лёгкий	容易	簡単	سهل	आसान	kolay
01454244-a	shouted	teriak	gritó	crié	gritou	alipiga kelele	schrie	кричал	喊道	叫んだ	صاح	चिल्लाया	bağırdı
00300469-a	splitting	pemisahan	desgarrador	fractionnement	divisão	kugawanyika	Spaltung	расщепление	分裂	分割する	تقسيم	बंटवारा	bölme
	bryce	brice	bryce	Bryce	Bryce	brice	Bryce	Брайс	布莱斯	ブライス	بريس	ब्राइस	Bryce
	commands	perintah	comandos	commandes	comandos	amri	Befehle	команды	命令	コマンド	الأوامر	आदेश	komutlar
	demanded	menuntut	exigió	exigé	exigiu	alidai	gefordert	потребовал	要求的	要求された	طالب	मांग की	talep edildi
03145843-n	cuff	manset	puño	manchette	punho	cuff	Manschette	манжета	袖口	袖口	صفعة	कफ	manşet
09466280-n	cosmos	dunia	mundo	monde	mundo	ulimwengu	Welt	мир	世界	世界	عالم	दुनिया	dünya
15180209-n	curfew	jam malam	toque de queda	couvre-feu	toque de recolher	amri ya kutotoka nje	Ausgangssperre	комендантский час	宵禁	門限	حظر التجول	कर्फ्यू	sokağa çıkma yasağı
	instructed	diinstruksikan	instruido	instruit	instruído	kuelekezwa	angewiesen	проинструктирован	指示	指示された	تعليمات	निर्देश दिया	talimat verilmiş
01984411-a	notorious	terkenal	infame	infâme	infame	sifa mbaya	anrüchig	бесславный	声名狼藉+的	悪名高い	سيئة السمعة	कुख्यात	alçak
08757926-n	prague	Prag	Praga	Prague	Praga	Prague	Prag	Прага	布拉格	プラハ	براغ	प्राग	Prag
06832896-n	q	Q	Q	Q	q	q	q	д	q	q	س	प्र	q
02087605-v	streak	berlari	surcar	séquence	sequência	mfululizo	Streifen	полоса	疾驰	縞模様	خط	लकीर	çizgi
05695554-n	equivalent	berpadanan	equivalente	équivalent	equivalente	sawa	Entsprechung	эквивалент	同等	同等のもの	مُساو	समकक्ष	eşdeğer
00905181-a	pitiful	menyedihkan	patético	pathétique	patético	mwenye kusikitisha	gefühlvoll	жалостный	可怜	かわいそう	يرثى لها	दयनीय	dokunaklı
13744521-n	fin	lima	5	cinq	barbatana	mwisho	fünf	пятёрка	五	５	زعنفة	फिन	yüzgeç
06630017-n	greeting	salam	saludo	salutation	saudação	salamu	Gruß	приветствие	迎接	挨拶	تحية	अभिवादन	tebrik
06674542-n	propaganda	diayah	propaganda	propagande	propaganda	propaganda	Propaganda	пропаганда	宣传	宣伝	بروباجندا	प्रचार	propaganda
03223686-n	doorstep	bendul	umbral	seuil	limiar	mlangoni	Schwelle	порог	门槛	敷居	عتبة	दरवाज़ा	kapı eşiği
	hilda	hilda	Hilda	Hilda	Hilda	hilda	Hilda	Хильда	希尔达	ヒルダ	هيلدا	हिल्डा	hilda
	butterflies	kupu-kupu	mariposas	papillons	borboletas	vipepeo	Schmetterlinge	бабочки	蝴蝶	蝶	الفراشات	तितलियाँ	kelebekler
00865848-a	fascinated	terpukau	embelesado	fasciné	fascinado	kuvutiwa	fasziniert	очарованный	着迷的	魅了された	مفتون	मोहित	büyülenmiş
11094055-n	jude	Judas	Tadeo	Thaddée	Jude	Yuda	Thaddäus	Джуд	裘德	ジュード	جود	जूड	jude
09589876-n	beatrice	Beatrice	Beatriz	Béatrice	Beatriz	beatrice	Beatrice	Беатрис	比阿特丽斯	ビアトリス	بياتريس	बीट्राइस	Beatrice
	miriam	miriam	miriam	miriam	miriam	miriam	miriam	Мириам	米里亚姆	ミリアム	ميريام	मरियम	miriam
01115589-n	dumping	pembuangan	dumping	dumping	despejar	kutupa	Dumping	демпинг	倾销	不当廉売	الإغراق	डंपिंग	boşaltma
	karan	karan	karan	Karan	Karan	karan	Karan	Каран	卡兰	カラン	كاران	करण	Karan
03088580-n	condo	kondominium	comunidad de propietarios	copropriété	condomínio	kondomu	Eigentumswohnung	квартира	公寓	コンドミニアム	شقة	कोंडो	apartman dairesi
00081671-a	fearless	berani	impertérrito	sans peur	destemido	bila woga	furchtlos	не боясь	无畏	不敵	لا يعرف الخوف	निडर	korkusuz
00225832-v	cripple	melumpuhkan	incapacitar	infirme	aleijado	kilema	verkrüppeln	калечить	残废	だめに+する	تشل	पंगु	sakat
00731947-n	errand	pendakian	recado	commission	missão	kazi	Besorgung	поручение	差事	お使い	مهمة	काम	ayak işi
	'in	'masuk	'en	'dans	'dentro	'katika	'in	'в	'在	で	'في	'में	'içinde
	halls	aula	pasillos	salles	corredores	kumbi	Hallen	залы	大厅	ホール	القاعات	हॉल	salonlar
	imitates	meniru	imita	imite	imita	inaiga	imitiert	имитирует	模仿	真似する	يقلد	नकल करता है	taklit eder
	harley	harley	harley	harley	arlequina	harley	Harley	Харли	哈雷	ハーレー	هارلي	हार्ले	harley
	ravi	ravi	ravi	ravi	Ravi	ravi	Ravi	Рави	拉维	ラビ	رافي	रवि	nehir
	gretchen	Gretchen	Gretchen	Gretchen	Gretchen	gretchen	Gretchen	Гретхен	格雷琴	グレッチェン	جريتشن	ग्रेचेन	Gretchen
	sailed	berlayar	navegó	navigué	navegou	meli	gesegelt	плыл	航行	出航した	أبحر	रवाना हुए	yelken açtı
	nico	niko	nico	Nico	Nico	niko	Nico	Нико	尼科	ニコ	نيكو	निको	Nico
00715843-n	baking	memanggang	panadería	cuisson	assar	kuoka	Backen	выпечка	烘焙	ベーキング	الخبز	पकाना	pişirme
	connecting	menghubungkan	conectando	connexion	conectando	kuunganisha	verbinden	подключение	连接	接続する	ربط	कनेक्ट करना	bağlanıyor
09869706-n	bourbon	minuman beralkohol	bourbon	bourbon	uísque	bourbon	Bourbon	бурбон	波本威士忌	ブルボン	بوربون	बोर्बोन	burbon
02984061-n	cathedral	katedral	catedral	cathédrale	catedral	kanisa kuu	Kathedrale	собор	大教堂	カセドラル	كاتدرائية	गिरजाघर	katedral
11152122-n	malone	Edmond Malone	Edmond Malone	Malone	Malone	malone	malone	малоун	马龙	マローン	مالون	मेलोन	malon
07376454-n	bong	bong	cachimba	bong	bongo	bong	Bong	бонг	邦	水煙	بونغ	घंटा	nargile
00149084-n	tying	mengikat	amarre	fixation	ligatura	kufunga	binden	лигатура	捆绑	結ぶ	ربط	बांधना	bağlama
	lists	daftar	listas	listes	listas	orodha	Listen	списки	列表	リスト	القوائم	सूचियाँ	listeler
01570935-v	strangle	mencekik	estrangular	étrangler	estrangular	nyonga	strangulieren	душить	扼杀	絞め殺す	خنق	गला घोंटना	boğmak
01496816-a	stripped	dilucuti	desnudo	dépouillé	despojado	kuvuliwa	ausgezogen	лишенный	剥离的	剥ぎ取られた	جردت	छीन लिया	soyulmuş
	loans	pinjaman	préstamos	prêts	empréstimos	mikopo	Kredite	кредиты	贷款	ローン	القروض	ऋण	krediler
09111955-n	manchester	Manchester	Manchester	manchester	manchester	manchester	manchester	Манчестер	曼彻斯特	マンチェスター	مانشِسْتر	मैनचेस्टर	manchester
00092682-r	briefly	sebentar	brevemente	brièvement	brevemente	kwa ufupi	kurz	кратко	简要地	ちょっくり	لفترة وجيزة	संक्षेप में	kısaca
	tessa	tessa	tessa	Tessa	Tessa	tessa	Tessa	Тесса	泰莎	テッサ	تيسا	टेसा	Tessa
01005675-a	unfinished	beku	inacabado	inachevé	inacabado	haijakamilika	unvollendet	незавершенный	未完成的	未完成の	غير مكتمل	अधूरा	tamamlanmamış
02940392-a	experimental	eksperimental	experimental	expérimental	experimental	majaribio	experimentell	экспериментальный	实验+的	実験上	اِخْتِبارِيّ	प्रायोगिक	deneysel
	greeks	Yunani	griegos	les grecs	gregos	wagiriki	Griechen	греки	希腊人	ギリシャ人	اليونانيين	यूनानी	Yunanlılar
	lil	kecil	pequeño	petit	pequena	lil	Lil	лил	小尔	リル	ليل	लिल	küçük
09346120-n	mainland	benua	continente	continent	continente	bara	Festland	материк	大陆	本土	يابسة	मुख्यभूमि	anakara
	w-what	a-apa	¿Qué?	w-quoi	o que	w-nini	w-was	ч-что	w-什么	な、何	ث-ماذا	w-क्या	n-ne
06551784-n	judgement	pendapat	sentencia	arrêt	juízo	hesabu	Beurteilung	суждение	判决书	ジャッジメント	حُكْم	निर्णय	eleştiri
	stammers	tergagap	tartamudea	bégaie	gagueja	vigugumizi	stammelt	заикается	结巴者	どもる	تتلعثم	हकलाना	kekemeler
03306610-n	pike	tombak	autopista	autoroute	auto-estrada	pike	Autobahn	автомагистраль	高速公路	高速道路	أوتوستراد	पाइक	otoyol
	liars	pembohong	mentirosos	menteurs	mentirosos	waongo	Lügner	лжецы	骗子	嘘つき	كذابون	झूठे	yalancılar
06284573-n	slot	celah	ranura	fente	slot	yanayopangwa	Steckplatz	слот	插槽	スロット	فتحة	स्लॉट	yuva
02204237-a	17th	tanggal 17	decimoséptimo	17e	17º	17	17	17-е	第十七	17日	السابع عشر	17वां	17.
09787293-n	amazon	Amazon	amazona	amazone	amazona	amazoni	Amazon	бой-баба	彪悍强壮的妇女	アマゾン	أمازون	अमेज़न	Amazon
01083754-a	flooded	kebanjiran	desbordado	inondé	inundado	mafuriko	überflutet	затоплен	泛滥+的	ぐちょぐちょ	غمرت المياه	बाढ़ आ गई	su basmış
14333433-n	torment	azab	martirio	torturer	tormento	mateso	quälen	мучить	剧痛	呵責	عذاب	पीड़ा	azap
09489601-n	mermaid	duyung	sirena	sirène	sereia	nguva	Nixe	русалка	人鱼	人魚	حورية البحر	मत्स्यांगना	deniz kızı
10507230-n	rapist	pemerkosa	violador	violeur	estuprador	mbakaji	Vergewaltiger	насильник	强奸者	強姦犯	مغتصب	बलात्कारी	tecavüzcü
	sanders	sander	lijadoras	ponceuses	lixadeiras	mchanga	Schleifmaschinen	шлифовальные машины	桑德斯	サンダース	ساندرز	सैंडर्स	zımpara makineleri
	triggered	dipicu	desencadenado	déclenché	acionado	yalisababisha	ausgelöst	сработало	触发的	トリガーされた	أثار	ट्रिगर	tetiklendi
	expects	mengharapkan	espera	attend	espera	inatarajia	erwartet	ожидает	期望	期待しています	يتوقع	उम्मीद है	bekliyor
08986066-n	lisbon	Lisboa	Lisboa	Lisbonne	Lisboa	lisbon	Lissabon	Лиссабон	里斯本	リスボン	لشبونة	लिस्बन	Lizbon
10508710-n	reader	pembaca	lector	lecteur	leitor	msomaji	Leser	читатель	读者	本読み	قارِئ	पाठक	okuyucu
03614007-n	keyboard	papan ketik	teclado	clavier	teclado	kibodi	Tastatur	клавиатура	键盘	キーボード	لوحة مفاتيح	कीबोर्ड	klavye
01881180-v	roam	beralun	errar	errer	vagar	zurura	umherstreifen	бродить	漫步	ぶらつく	تجول	घूमना	dolaşmak
02187995-a	seventeen	tujuh belas	17	dix-sept	dezessete	kumi na saba	siebzehn	семнадцать	十七	十七	سبعة عشر	सत्रह	on yedi
00053394-r	openly	terang-terang	abiertamente	ouvertement	abertamente	kwa uwazi	offen	открыто	公开地	大っぴら	علنا	खुलेआम	açıkça
09994673-n	deacon	diaken	diácono	diacre	diácono	shemasi	Diakon	дьякон	执事	執事	الشماس	उपयाजक	papaz
	olga	Olga	olga	Olga	olga	Olga	Olga	ольга	奥尔加	オルガ	أولغا	ओल्गा	olga
13343774-n	jackpot	pertaruhan	bote	jackpot	bolo	jackpot	Jackpot	главный выигрыш	头彩	ジャックポット	الفوز بالجائزة الكبرى	जैकपॉट	büyük ikramiye
00798103-a	soaked	mabuk	borracho	bourré	encharcado	kulowekwa	betrunken	пьяный	喝醉+的	びしょ濡れ	غارقة	भीगा हुआ	sırılsıklam
06403291-n	printing	tulisan	imprimiendo	imprimerie	impressão	uchapishaji	Drucken	печать	印刷	印刷	الطباعة	मुद्रण	baskı
	yuck	huh	¡Qué asco!	beurk	eca	yuck	Igitt	фу	恶心	やあ	مقرف	छी	iğrenç
	shorty	pendek	enano	shorty	baixinho	mfupi	Shorty	коротышка	矮个子	背が低い	قليل	छोटू	kısa boylu
01351170-v	extract	berjujut-jujutan	extraer	extraire	extrair	dondoo	extrahieren	извлекать	取出	とり出す	استخراج	निकालना	çıkarmak
	nköö	tidak	nköö	nköö	nköö	nk	nköö	нкёо	恩科	ンキョー	نكو	ठीक है	nköö
	you-you	kamu-kamu	tu-tú	toi-toi	você-você	wewe-wewe	du-du	ты-ты	你你	あなた、あなた	أنت أنت	तुम-तुम	sen-sen
	prostitutes	pelacur	prostitutas	prostituées	prostitutas	makahaba	Prostituierte	проститутки	妓女	売春婦	البغايا	वेश्याएँ	fahişeler
01776214-v	cherish	mengemong	apreciar	chérir	valorizar	thamini	schätzen	ободрять	珍惜	大切に+する	نعتز به	संजोना	değer vermek
	logs	log	registros	journaux	registros	magogo	Protokolle	журналы	日志	ログ	سجلات	लॉग	günlükler
02419634-n	takin	ambil	takín	budorcas taxicolor	tomando	takini	nehmen	такин	羚牛	取る	تاكين	takin	almak
01392663-v	sponge	mengelap	pasar una esponja	éponge	esponja	sifongo	Schwamm	губка	海绵	スポンジ	اسفنجة	स्पंज	sünger
	bates	bates	bates	Bates	Bates	bati	Bates	Бейтс	贝茨	ベイツ	بيتس	बेट्स	sopalar
	cuffs	manset	puños	poignets	punhos	vifungo	Manschetten	манжеты	袖口	袖口	الأصفاد	कफ	manşetler
13967581-n	virginity	dara	virginidad	virginité	virgindade	ubikira	Jungfräulichkeit	девственность	处女性	処女性	بكارة	कौमार्य	bakirlik
01711724-a	torturing	menyedihkan	terrible	agonisant	torturando	kutesa	foltern	пытки	极痛苦+的	痛刻	تعذيب	यातना देना	işkence
14460565-n	unity	kepaduan	integridad	intégrité	unidade	umoja	Einheit	единство	完全	ユニティー	الوحدة	एकता	birlik
03016389-n	coop	keranjang	gallinero	poulailler	galinheiro	coop	Hühnerstall	курятник	鸡舍	鶏小屋	حظيرة	कॉप	kümes
01675245-v	forge	bakut	forjar	forger	forjar	ghushi	schmieden	ковать	锻造	鍛える	شكّل	जाली	dövmek
06355459-n	morse	Alfabet Morse	código Morse	code Morse	código morse	Morse	Morsecode	азбука Морзе	摩尔斯电码	モールス信号	شفرة مورس	मोर्स	mors
10152616-n	guru	guru	gurú	gourou	guru	guru	Guru	гуру	古鲁	グル	جورو	गुरु	guru
09734294-n	tai	Siam	tailandés	Thaïlandais	tai	Mthai	Tai	таец	泰国人	タイ人	تايلاندي	थाई	Tay
02225510-a	skilled	ahli	hábil	savant	habilidoso	wenye ujuzi	kompetent	квалифицированный	有技巧+的	堪能	trüf	माहिर	yetenekli
	dev	dev	desarrollador	développeur	desenvolvedor	dev	Entwickler	разработчик	开发者	開発者	ديف	देव	geliştirici
	insists	bersikeras	insiste	insiste	insiste	anasisitiza	besteht darauf	настаивает	坚持	と主張する	يصر	जोर देता है	ısrar ediyor
01887896-n	calf	pedet	becerro	veau	bezerro	ndama	Kalb	телёнок	小牛	子牛	عجل	बछिया	dana
	oof	oof	uf	ouf	ah	oof	uff	уф	噢	ああ	أوه	उफ़	offf
13286254-n	allowance	peruntukan	asignación	remboursement	subsídio	posho	Zulage	пособие	津贴	小遣い	بدل	भत्ता	ödenek
10182913-n	homosexual	homosex	homosexual	homosexuel	homossexual	msenge	Homosexueller	гомосексуалист	同性恋者	同性愛者	شاذّ جِنسِيًا	गे	homoseksüel
	vijay	vijay	vijay	vijay	Vijay	vijay	vijay	Виджай	维杰	ビジェイ	فيجاي	विजय	vijay
	shapes	bentuk	formas	formes	formas	maumbo	Formen	формы	形状	形	الأشكال	आकृतियाँ	şekiller
12864160-n	rosemary	rosemary	romero	romarin	alecrim	rosemary	Rosmarin	розмарин	迷迭香	ローズマリー	روزماري	दौनी	biberiye
00294175-a	idle	bermalas-malas	desempleado	inactif	ocioso	bila kazi	im Leerlauf	праздный	空闲	ぐうたら	خامل	निष्क्रिय	boşta
	slaughtered	disembelih	sacrificado	abattu	abatido	kuchinjwa	geschlachtet	убитый	被宰杀	屠殺された	ذبح	वध कर दिया गया	katledildi
01773346-v	resent	benci	ofenderse	avoir de l'amertume	ressentir-se	kuchukizwa	verärgert	негодовать	厌恶	怨嗟+する	اِغْتاظ	नाराजगी	içerlemek
09596186-n	cassandra	Cassandra	casandra	Cassandre	Cassandra	cassandra	Kassandra	Кассандра	卡桑德拉	カッサンドラ	كاساندرا	कैसेंड्रा	Kassandra
	leaking	bocor	goteando	fuite	vazando	kuvuja	undicht	утечка	泄漏	漏れている	تسرب	लीक हो रहा है	sızıntı
00138060-r	likewise	demikian	asimismo	semblablement	da mesma forma	vivyo hivyo	ebenso	аналогично	同样地	おなじく	وبالمثل	इसी तरह	aynı şekilde
01275301-v	riddle	berlubang-lubang	acribillar	puzzle	enigma	kitendawili	Rätsel	загадка	谜语	なぞなぞ	لغز	पहेली	bilmece
08578951-n	ghetto	ghetto	gueto	ghetto	gueto	geto	Ghetto	гетто	贫民窟	ゲットー	غيتو	यहूदी बस्ती	getto
04356056-n	sunglasses	kacamata hitam	gafas de sol	lunettes de soleil	óculos de sol	miwani ya jua	Sonnenbrille	солнечные очки	太阳眼镜	サングラス	نظارات شمسية	धूप का चश्मा	güneş gözlüğü
11362195-n	vega	Vega	Vega	Félix Lope de Vega y Carpio	Vega	mboga	vega	вега	织女星	ロペ・デ・ヴェガ	فيغا	वेगा	vega
	newest	terbaru	más nuevo	le plus récent	mais novo	mpya zaidi	neueste	новейший	最新的	最新の	الأحدث	नवीनतम	en yeni
05395286-n	valve	katup	válvula	valvule	válvula	valve	Ventil	клапан	阀门	弁	صمام	वाल्व	vana
10123615-n	geek	kutu buku	friki	connaisseur	nerd	jamani	Geek	компьютерщик	极客	オタク	المهوس	मूर्ख	inek
	fucks	keparat	folla	baise	fode	jamani	Scheiße	трахается	乱搞	ファック	الملاعين	बकवास	sikikleri
	gangsters	gangster	mafiosos	des gangsters	bandidos	majambazi	Gangster	гангстеры	歹徒	ギャングスター	رجال العصابات	अपराधी	gangsterler
	pies	pai	pasteles	tartes	tortas	mikate	Kuchen	пироги	馅饼	パイ	فطائر	पाई	turta
08062623-n	publisher	penerbit	ed.	maison d'édition	editor	mchapishaji	Verlag	издательство	出版社	出版社	دار نشر	प्रकाशक	yayıncı
01189386-a	troubling	mengkhawatirkan	doloroso	anxiogène	preocupante	kusumbua	besorgniserregend	тревожный	令人不安的	悩ましい	مقلق	परेशान करना	rahatsız edici
02304565-a	trembling	gementar	tembloroso	tremblant	tremendo	kutetemeka	zitternd	дрожь	颤抖	震えた	يرتجف	कांपना	titriyor
00797361-n	marathon	maraton	maratón	marathon	maratona	mbio za marathoni	Marathon	марафон	耐力的考验	マラソン	ماراثون	मैराथन	maraton
03228533-n	douche	mandi air panas	ducharse	doucher	idiota	dozi	Dusche	душ	冲洗器	潅水	نضح	नोचना	duş
01136265-n	conducting	melakukan	conduciendo	conduite	conduzindo	kuendesha	dirigieren	проведение	进行	指揮する	إجراء	संचालन	iletken
	sundays	hari Minggu	domingos	les dimanches	domingos	Jumapili	sonntags	воскресенья	周日	日曜日	أيام الأحد	रविवार	pazar günleri
	shrieks	jeritan	chillidos	crie	gritos	anapiga kelele	schreit	визжит	尖叫声	悲鳴を上げる	صرخات	चीखता है	çığlıklar
10085970-n	fiancee	tunangan	prometida	fiancée	noiva	mchumba	Verlobte	невеста	未婚妻	婚約者	خطيبة	मंगेतर	nişanlısı
14007750-n	frankenstein	frankenstein	frankenstein	Frankenstein	frankenstein	frankenstein	Frankenstein	Франкенштейн	作法自毙的人	フランケンシュタイン	فرانكشتاين	फ्रेंकस्टीन	Frankenştayn
